node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune,startProvince,endProvince,startCommune,endCommune
15,1,0.000381000000000006,634023.485691658,783333.407241921,633594.635219964,783592.583915909,0.000381000000000006,0,2020.22366271585,2020.22404371585,2575000,Liège,Liège,4750,4750,Liège,Liège,4750,4750
15,16,0.000359999999999999,634023.485691658,783333.407241921,638674.670271402,781888.14638728,0.000359999999999999,0,2020.22366271585,2020.22402271585,2575000,Liège,NA,4750,NA,Liège,NA,4750,NA
16,17,0.05209,638674.670271402,781888.14638728,635035.293246242,784039.252334546,0.05245,0.000359999999999999,2020.22402271585,2020.27611271585,2575000,NA,NA,NA,NA,NA,NA,NA,NA
16,18,0.00784,638674.670271402,781888.14638728,635637.547624561,787398.85902467,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,2575000,NA,NA,NA,NA,NA,NA,NA,NA
17,2,0.0326304535500016,635035.293246242,784039.252334546,642004.279437344,776063.346164795,0.0850804535500016,0.05245,2020.27611271585,2020.3087431694,2575000,NA,Liège,NA,4700,NA,Liège,NA,4700
17,3,0.0162374535500016,635035.293246242,784039.252334546,643955.040848366,776959.006924124,0.0686874535500016,0.05245,2020.27611271585,2020.2923501694,2575000,NA,Liège,NA,4700,NA,Liège,NA,4700
18,4,0.0768804535500016,635637.547624561,787398.85902467,645727.449992765,783006.262035757,0.0850804535500016,0.0082,2020.23186271585,2020.3087431694,2575000,NA,Liège,NA,4700,NA,Liège,NA,4700
18,19,0.02251,635637.547624561,787398.85902467,655411.640917753,770011.280216867,0.03071,0.0082,2020.23186271585,2020.25437271585,2575000,NA,Liège,NA,4730,NA,Liège,NA,4730
19,20,0.00244,655411.640917753,770011.280216867,656805.241767198,765494.26003364,0.03315,0.03071,2020.25437271585,2020.25681271585,2575000,Liège,Liège,4730,4720,Liège,Liège,4730,4720
19,21,0.00273,655411.640917753,770011.280216867,652601.814216828,772000.945776646,0.03344,0.03071,2020.25437271585,2020.25710271585,2575000,Liège,Liège,4730,4730,Liège,Liège,4730,4730
20,5,0.0000184535500016361,656805.241767198,765494.26003364,657012.79581117,765314.036763368,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,2575000,Liège,Liège,4720,4720,Liège,Liège,4720,4720
20,6,0.0000184535500016361,656805.241767198,765494.26003364,659721.667105112,766007.327830952,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,2575000,Liège,Liège,4720,4720,Liège,Liège,4720,4720
21,22,0.00244,652601.814216828,772000.945776646,656805.241767198,765494.26003364,0.03588,0.03344,2020.25710271585,2020.25954271585,2575000,Liège,Liège,4730,4720,Liège,Liège,4730,4720
21,7,0.00246045355000164,652601.814216828,772000.945776646,659898.132876325,767912.368129012,0.0359004535500016,0.03344,2020.25710271585,2020.2595631694,2575000,Liège,NA,4730,4721,Liège,NA,4730,4721
22,8,0.0000204535500016381,656805.241767198,765494.26003364,621391.079976291,788523.748538198,0.0359004535500016,0.03588,2020.25954271585,2020.2595631694,2575000,Liège,Liège,4720,4760,Liège,Liège,4720,4760
22,23,0.03279,656805.241767198,765494.26003364,643266.547880087,780139.101088435,0.06867,0.03588,2020.25954271585,2020.29233271585,2575000,Liège,Liège,4720,4700,Liège,Liège,4720,4700
23,9,0.0000174535500016421,643266.547880087,780139.101088435,644602.295578747,778648.891159856,0.0686874535500016,0.06867,2020.29233271585,2020.2923501694,2575000,Liège,Liège,4700,4700,Liège,Liège,4700,4700
23,24,0.01164,643266.547880087,780139.101088435,665010.626910189,763051.099160711,0.08031,0.06867,2020.29233271585,2020.30397271585,2575000,Liège,NA,4700,NA,Liège,NA,4700,NA
24,25,0.00231000000000001,665010.626910189,763051.099160711,657937.002980119,765536.930511495,0.08262,0.08031,2020.30397271585,2020.30628271585,2575000,NA,Liège,NA,4720,NA,Liège,NA,4720
24,10,0.00477045355000164,665010.626910189,763051.099160711,646907.942200398,762960.499727477,0.0850804535500016,0.08031,2020.30397271585,2020.3087431694,2575000,NA,Liège,NA,4837,NA,Liège,NA,4837
25,26,0.00244,657937.002980119,765536.930511495,656805.241767198,765494.26003364,0.08506,0.08262,2020.30628271585,2020.30872271585,2575000,Liège,Liège,4720,4720,Liège,Liège,4720,4720
25,27,0.00244,657937.002980119,765536.930511495,656805.241767198,765494.26003364,0.08506,0.08262,2020.30628271585,2020.30872271585,2575000,Liège,Liège,4720,4720,Liège,Liège,4720,4720
26,12,0.0000204535500016451,656805.241767198,765494.26003364,656864.291915067,765324.685370526,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,2575000,Liège,Liège,4720,4720,Liège,Liège,4720,4720
